run_id,metric,country,provider,product,sampling_run_id,region,alpha2_code,metric_value,metric_value_lower,metric_value_upper,week,Run_Type,region_name,run_date_dynamic,run_date_string,year,date,incremental_column,Measurement
20250526-18365215,ASF,POL,Orbis,25220.000 ON,20220602-0001,{},pl,95.7,94.9,96.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,POL,Orbis,25220.000 ON,20220602-0001,{},pl,93.4,92.4,94.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,POL,Orbis,25220.000 ON,20220602-0001,{},pl,99.7,99.4,99.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,POL,Orbis,25220.000 ON,20220602-0001,{},pl,98.7,98.2,99.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,PHL,Orbis,25220.000 ON,20220602-0001,{},ph,50.3,47.7,53.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,PHL,Orbis,25220.000 ON,20220602-0001,{},ph,94.5,92.8,96.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,PHL,Orbis,25220.000 ON,20220602-0001,{},ph,93.5,91.1,96,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,PHL,Orbis,25220.000 ON,20220602-0001,{},ph,91.2,88.9,93.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,PER,Orbis,25220.000 ON,20220602-0001,{},pe,93.1,91.6,94.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,PER,Orbis,25220.000 ON,20220602-0001,{},pe,88.1,83.7,92.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,PER,Orbis,25220.000 ON,20220602-0001,{},pe,96.9,94.9,98.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,PER,Orbis,25220.000 ON,20220602-0001,{},pe,78.1,75.9,80.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,OMN,Orbis,25220.000 ON,20220602-0001,{},om,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,OMN,Orbis,25220.000 ON,20220602-0001,{},om,37.7,12.5,62.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,OMN,Orbis,25220.000 ON,20220602-0001,{},om,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,NZL,Orbis,25220.000 ON,20220602-0001,{},nz,92.5,90.8,94.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,NZL,Orbis,25220.000 ON,20220602-0001,{},nz,98.2,97.5,98.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,NZL,Orbis,25220.000 ON,20220602-0001,{},nz,92.7,91.4,93.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,NZL,Orbis,25220.000 ON,20220602-0001,{},nz,97.2,96.4,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,NOR,Orbis,25220.000 ON,20220602-0001,{},no,97.5,96.8,98.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,NOR,Orbis,25220.000 ON,20220602-0001,{},no,95.9,95.1,96.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,NOR,Orbis,25220.000 ON,20220602-0001,{},no,95,94.2,95.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,NOR,Orbis,25220.000 ON,20220602-0001,{},no,94.6,93.8,95.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,NLD,Orbis,25220.000 ON,20220602-0001,{},nl,97.1,96.4,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,NLD,Orbis,25220.000 ON,20220602-0001,{},nl,99.3,98.8,99.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,NLD,Orbis,25220.000 ON,20220602-0001,{},nl,98.7,98.2,99.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,NLD,Orbis,25220.000 ON,20220602-0001,{},nl,97,96.3,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,NGA,Orbis,25220.000 ON,20240109-0001,{},ng,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,NGA,Orbis,25220.000 ON,20240109-0001,{},ng,67.3,63.2,71.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,NGA,Orbis,25220.000 ON,20240109-0001,{},ng,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MYS,Orbis,25220.000 ON,20220602-0001,{},my,67.7,65,70.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MYS,Orbis,25220.000 ON,20220602-0001,{},my,96.2,94.8,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MYS,Orbis,25220.000 ON,20220602-0001,{},my,94.8,93.7,95.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MYS,Orbis,25220.000 ON,20220602-0001,{},my,81.4,79.5,83.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MNE,Orbis,25220.000 ON,20220602-0001,{},me,0.4,0.1,0.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MNE,Orbis,25220.000 ON,20220602-0001,{},me,79.9,68.6,91.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MNE,Orbis,25220.000 ON,20220602-0001,{},me,89.6,85.2,94.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MNE,Orbis,25220.000 ON,20220602-0001,{},me,74.9,50,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MLT,Orbis,25220.000 ON,20220602-0001,{},mt,93.6,90.8,96.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MLT,Orbis,25220.000 ON,20220602-0001,{},mt,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MLT,Orbis,25220.000 ON,20220602-0001,{},mt,95.2,92.5,97.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MLT,Orbis,25220.000 ON,20220602-0001,{},mt,91.2,87.6,94.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MKD,Orbis,25220.000 ON,20220602-0001,{},mk,87.5,85.7,89.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MKD,Orbis,25220.000 ON,20220602-0001,{},mk,98.8,96.5,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MKD,Orbis,25220.000 ON,20220602-0001,{},mk,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MKD,Orbis,25220.000 ON,20220602-0001,{},mk,85.9,83.9,87.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MEX,Orbis,25220.000 ON,20220602-0001,{},mx,69.3,67.3,71.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MEX,Orbis,25220.000 ON,20220602-0001,{},mx,94.9,93.9,95.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MEX,Orbis,25220.000 ON,20220602-0001,{},mx,97,96.3,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MEX,Orbis,25220.000 ON,20220602-0001,{},mx,87,85.5,88.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MAR,Orbis,25220.000 ON,20220602-0001,{},ma,41.9,39.5,44.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,MAR,Orbis,25220.000 ON,20220602-0001,{},ma,72.8,67.4,77.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MAR,Orbis,25220.000 ON,20220602-0001,{},ma,71.1,68.1,73.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MAR,Orbis,25220.000 ON,20220602-0001,{},ma,41.4,37.6,45.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,MAC,Orbis,25220.000 ON,20240109-0001,{},mo,79,72.7,85.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,MAC,Orbis,25220.000 ON,20240109-0001,{},mo,98.8,96.5,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,MAC,Orbis,25220.000 ON,20240109-0001,{},mo,94.8,91.4,98.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,LVA,Orbis,25220.000 ON,20220602-0001,{},lv,95.5,94.8,96.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,LVA,Orbis,25220.000 ON,20220602-0001,{},lv,91.1,90,92.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,LVA,Orbis,25220.000 ON,20220602-0001,{},lv,89,86.7,91.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,LVA,Orbis,25220.000 ON,20220602-0001,{},lv,98.5,97.9,99,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,LUX,Orbis,25220.000 ON,20220602-0001,{},lu,95.2,93.9,96.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,LUX,Orbis,25220.000 ON,20220602-0001,{},lu,98.5,97.6,99.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,LUX,Orbis,25220.000 ON,20220602-0001,{},lu,97.3,96.2,98.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,LUX,Orbis,25220.000 ON,20220602-0001,{},lu,93.8,92.1,95.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,LTU,Orbis,25220.000 ON,20220602-0001,{},lt,94.3,93.4,95.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,LTU,Orbis,25220.000 ON,20220602-0001,{},lt,89,87.8,90.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,LTU,Orbis,25220.000 ON,20220602-0001,{},lt,93.7,91.8,95.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,LTU,Orbis,25220.000 ON,20220602-0001,{},lt,93.3,91.5,95,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,LBN,Orbis,25220.000 ON,20240109-0001,{},lb,4.5,1.8,8.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,LBN,Orbis,25220.000 ON,20240109-0001,{},lb,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,LBN,Orbis,25220.000 ON,20240109-0001,{},lb,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,LBN,Orbis,25220.000 ON,20240109-0001,{},lb,21.9,13.8,30.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,KWT,Orbis,25220.000 ON,20220602-0001,{},kw,52.5,49,55.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,KWT,Orbis,25220.000 ON,20220602-0001,{},kw,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
